timestamp,co2_ppm,temperature_c,humidity_percent
2014-01-01 00:00:00,397.45,22.5,91
2014-01-01 01:00:00,397.44374999999997,21.9,93
2014-01-01 02:00:00,397.4375,21.8,93
2014-01-01 03:00:00,397.43125,21.5,94
2014-01-01 04:00:00,397.425,21.5,94
2014-01-01 05:00:00,397.41875,21.4,94
2014-01-01 06:00:00,397.4125,21.3,95
2014-01-01 07:00:00,397.40625,21.6,94
2014-01-01 08:00:00,397.4,24.2,85
2014-01-01 09:00:00,397.39375,25.6,76
2014-01-01 10:00:00,397.3875,27.0,68
2014-01-01 11:00:00,397.38125,27.9,63
2014-01-01 12:00:00,397.375,28.4,60
2014-01-01 13:00:00,397.36875,28.8,58
2014-01-01 14:00:00,397.3625,28.9,57
2014-01-01 15:00:00,397.35625,28.4,57
2014-01-01 16:00:00,397.35,27.9,59
2014-01-01 17:00:00,397.34375,26.9,63
2014-01-01 18:00:00,397.3375,25.9,67
2014-01-01 19:00:00,397.33125,25.3,71
2014-01-01 20:00:00,397.325,24.9,73
2014-01-01 21:00:00,397.31875,24.6,76
2014-01-01 22:00:00,397.3125,24.1,79
2014-01-01 23:00:00,397.30625000000003,23.5,84
2014-01-02 00:00:00,397.3,23.1,86
2014-01-02 01:00:00,397.29583333333335,23.1,87
2014-01-02 02:00:00,397.2916666666667,23.0,87
2014-01-02 03:00:00,397.2875,23.4,84
2014-01-02 04:00:00,397.28333333333336,22.9,87
2014-01-02 05:00:00,397.2791666666667,22.5,89
2014-01-02 06:00:00,397.275,22.5,89
2014-01-02 07:00:00,397.2708333333333,22.9,88
2014-01-02 08:00:00,397.26666666666665,24.9,78
2014-01-02 09:00:00,397.2625,26.2,70
2014-01-02 10:00:00,397.2583333333333,27.2,64
2014-01-02 11:00:00,397.25416666666666,28.1,59
2014-01-02 12:00:00,397.25,28.6,56
2014-01-02 13:00:00,397.24583333333334,28.7,55
2014-01-02 14:00:00,397.2416666666667,28.7,56
2014-01-02 15:00:00,397.2375,28.3,57
2014-01-02 16:00:00,397.23333333333335,27.7,60
2014-01-02 17:00:00,397.2291666666667,26.7,63
2014-01-02 18:00:00,397.225,25.8,67
2014-01-02 19:00:00,397.2208333333333,25.3,69
2014-01-02 20:00:00,397.21666666666664,24.8,72
2014-01-02 21:00:00,397.2125,24.2,76
2014-01-02 22:00:00,397.2083333333333,23.5,81
2014-01-02 23:00:00,397.20416666666665,22.8,86
2014-01-03 00:00:00,397.2,22.3,88
2014-01-03 01:00:00,397.2316666666667,22.0,90
2014-01-03 02:00:00,397.2633333333333,21.8,90
2014-01-03 03:00:00,397.29499999999996,21.5,91
2014-01-03 04:00:00,397.32666666666665,21.4,91
2014-01-03 05:00:00,397.35833333333335,21.2,91
2014-01-03 06:00:00,397.39,21.2,91
2014-01-03 07:00:00,397.4216666666666,21.7,91
2014-01-03 08:00:00,397.4533333333333,24.3,80
2014-01-03 09:00:00,397.485,25.9,70
2014-01-03 10:00:00,397.51666666666665,27.3,63
2014-01-03 11:00:00,397.5483333333333,28.3,59
2014-01-03 12:00:00,397.58,29.0,56
2014-01-03 13:00:00,397.6116666666667,29.5,54
2014-01-03 14:00:00,397.6433333333333,29.8,53
2014-01-03 15:00:00,397.67499999999995,29.6,54
2014-01-03 16:00:00,397.70666666666665,29.3,55
2014-01-03 17:00:00,397.73833333333334,28.6,58
2014-01-03 18:00:00,397.77,27.1,67
2014-01-03 19:00:00,397.8016666666666,25.9,72
2014-01-03 20:00:00,397.8333333333333,25.2,76
2014-01-03 21:00:00,397.865,24.6,79
2014-01-03 22:00:00,397.89666666666665,24.1,82
2014-01-03 23:00:00,397.9283333333333,23.7,84
2014-01-04 00:00:00,397.96,23.3,86
2014-01-04 01:00:00,397.98499999999996,22.7,88
2014-01-04 02:00:00,398.01,22.1,92
2014-01-04 03:00:00,398.03499999999997,21.8,94
2014-01-04 04:00:00,398.06,21.6,94
2014-01-04 05:00:00,398.085,21.4,95
2014-01-04 06:00:00,398.11,21.2,95
2014-01-04 07:00:00,398.135,21.5,95
2014-01-04 08:00:00,398.15999999999997,24.0,84
2014-01-04 09:00:00,398.185,25.6,73
2014-01-04 10:00:00,398.21,26.9,67
2014-01-04 11:00:00,398.235,28.0,61
2014-01-04 12:00:00,398.26,28.9,58
2014-01-04 13:00:00,398.28499999999997,29.4,56
2014-01-04 14:00:00,398.31,29.7,55
2014-01-04 15:00:00,398.335,29.4,56
2014-01-04 16:00:00,398.36,29.2,56
2014-01-04 17:00:00,398.385,28.6,59
2014-01-04 18:00:00,398.40999999999997,27.5,72
2014-01-04 19:00:00,398.435,26.1,74
2014-01-04 20:00:00,398.46,25.3,78
2014-01-04 21:00:00,398.485,24.8,80
2014-01-04 22:00:00,398.51,24.3,83
2014-01-04 23:00:00,398.535,23.8,85
2014-01-05 00:00:00,398.56,23.3,88
2014-01-05 01:00:00,398.5525,22.9,90
2014-01-05 02:00:00,398.545,22.5,92
2014-01-05 03:00:00,398.5375,22.6,92
2014-01-05 04:00:00,398.53,22.6,92
2014-01-05 05:00:00,398.5225,22.5,92
2014-01-05 06:00:00,398.515,22.6,92
2014-01-05 07:00:00,398.5075,22.7,92
2014-01-05 08:00:00,398.5,24.7,82
2014-01-05 09:00:00,398.4925,26.0,75
2014-01-05 10:00:00,398.485,27.3,67
2014-01-05 11:00:00,398.4775,28.2,63
2014-01-05 12:00:00,398.47,28.8,60
2014-01-05 13:00:00,398.4625,29.0,58
2014-01-05 14:00:00,398.455,28.9,58
2014-01-05 15:00:00,398.4475,28.3,61
2014-01-05 16:00:00,398.44,27.6,64
2014-01-05 17:00:00,398.4325,26.7,68
2014-01-05 18:00:00,398.425,25.8,72
2014-01-05 19:00:00,398.4175,25.2,75
2014-01-05 20:00:00,398.40999999999997,24.8,78
2014-01-05 21:00:00,398.4025,24.6,79
2014-01-05 22:00:00,398.395,24.3,81
2014-01-05 23:00:00,398.3875,24.1,83
2014-01-06 00:00:00,398.38,23.9,85
2014-01-06 01:00:00,398.40666666666664,23.8,85
2014-01-06 02:00:00,398.43333333333334,23.7,85
2014-01-06 03:00:00,398.46,23.9,83
2014-01-06 04:00:00,398.4866666666667,23.8,82
2014-01-06 05:00:00,398.5133333333333,23.7,82
2014-01-06 06:00:00,398.53999999999996,23.7,83
2014-01-06 07:00:00,398.56666666666666,23.8,83
2014-01-06 08:00:00,398.5933333333333,24.7,78
2014-01-06 09:00:00,398.62,25.9,72
2014-01-06 10:00:00,398.64666666666665,27.3,65
2014-01-06 11:00:00,398.67333333333335,28.0,62
2014-01-06 12:00:00,398.7,28.3,61
2014-01-06 13:00:00,398.72666666666663,28.7,59
2014-01-06 14:00:00,398.75333333333333,28.1,62
2014-01-06 15:00:00,398.78,27.5,65
2014-01-06 16:00:00,398.8066666666667,27.2,66
2014-01-06 17:00:00,398.8333333333333,26.5,68
2014-01-06 18:00:00,398.86,25.8,72
2014-01-06 19:00:00,398.88666666666666,25.2,75
2014-01-06 20:00:00,398.9133333333333,24.7,78
2014-01-06 21:00:00,398.94,24.5,80
2014-01-06 22:00:00,398.96666666666664,24.3,81
2014-01-06 23:00:00,398.99333333333334,24.1,82
2014-01-07 00:00:00,399.02,23.9,84
2014-01-07 01:00:00,398.99833333333333,23.7,85
2014-01-07 02:00:00,398.97666666666663,23.6,86
2014-01-07 03:00:00,398.955,23.9,85
2014-01-07 04:00:00,398.93333333333334,23.9,84
2014-01-07 05:00:00,398.91166666666663,23.7,85
2014-01-07 06:00:00,398.89,23.7,85
2014-01-07 07:00:00,398.86833333333334,23.8,85
2014-01-07 08:00:00,398.84666666666664,24.9,79
2014-01-07 09:00:00,398.825,26.1,72
2014-01-07 10:00:00,398.80333333333334,27.2,66
2014-01-07 11:00:00,398.78166666666664,28.0,63
2014-01-07 12:00:00,398.76,28.2,62
2014-01-07 13:00:00,398.73833333333334,28.3,61
2014-01-07 14:00:00,398.71666666666664,28.4,60
2014-01-07 15:00:00,398.695,27.9,62
2014-01-07 16:00:00,398.67333333333335,27.3,64
2014-01-07 17:00:00,398.65166666666664,26.5,68
2014-01-07 18:00:00,398.63,25.7,72
2014-01-07 19:00:00,398.60833333333335,25.2,75
